File Name,File Version,Update Date,Week Ending Date,Formatted Date,SSA Month,SSA Weeks in Month,SSA Quarter Date,Fiscal Year,Fiscal Quarter Number,Fiscal Week,Calendar Year,Calendar Quarter Number,Calendar Quarter Date,Notes
SSA-DATES1.csv,2,01/19/2021,12/26/2003,2003-12-26,2003-12,4,2003-12,2004,2004-1,13,2003,2003-4,2003-12,
SSA-DATES1.csv,2,01/19/2021,1/2/2004,2004-01-02,2004-01,5,2004-03,2004,2004-2,14,2004,2004-1,2004-03,
SSA-DATES1.csv,2,01/19/2021,1/9/2004,2004-01-09,2004-01,5,2004-03,2004,2004-2,15,2004,2004-1,2004-03,
SSA-DATES1.csv,2,01/19/2021,1/16/2004,2004-01-16,2004-01,5,2004-03,2004,2004-2,16,2004,2004-1,2004-03,
SSA-DATES1.csv,2,01/19/2021,1/23/2004,2004-01-23,2004-01,5,2004-03,2004,2004-2,17,2004,2004-1,2004-03,
SSA-DATES1.csv,2,01/19/2021,1/30/2004,2004-01-30,2004-01,5,2004-03,2004,2004-2,18,2004,2004-1,2004-03,
SSA-DATES1.csv,2,01/19/2021,2/6/2004,2004-02-06,2004-02,4,2004-03,2004,2004-2,19,2004,2004-1,2004-03,
SSA-DATES1.csv,2,01/19/2021,2/13/2004,2004-02-13,2004-02,4,2004-03,2004,2004-2,20,2004,2004-1,2004-03,
SSA-DATES1.csv,2,01/19/2021,2/20/2004,2004-02-20,2004-02,4,2004-03,2004,2004-2,21,2004,2004-1,2004-03,
SSA-DATES1.csv,2,01/19/2021,2/27/2004,2004-02-27,2004-02,4,2004-03,2004,2004-2,22,2004,2004-1,2004-03,
SSA-DATES1.csv,2,01/19/2021,3/5/2004,2004-03-05,2004-03,4,2004-03,2004,2004-2,23,2004,2004-1,2004-03,
SSA-DATES1.csv,2,01/19/2021,3/12/2004,2004-03-12,2004-03,4,2004-03,2004,2004-2,24,2004,2004-1,2004-03,
SSA-DATES1.csv,2,01/19/2021,3/19/2004,2004-03-19,2004-03,4,2004-03,2004,2004-2,25,2004,2004-1,2004-03,
SSA-DATES1.csv,2,01/19/2021,3/26/2004,2004-03-26,2004-03,4,2004-03,2004,2004-2,26,2004,2004-1,2004-03,
SSA-DATES1.csv,2,01/19/2021,4/2/2004,2004-04-02,2004-04,5,2004-06,2004,2004-3,27,2004,2004-2,2004-06,
SSA-DATES1.csv,2,01/19/2021,4/9/2004,2004-04-09,2004-04,5,2004-06,2004,2004-3,28,2004,2004-2,2004-06,
SSA-DATES1.csv,2,01/19/2021,4/16/2004,2004-04-16,2004-04,5,2004-06,2004,2004-3,29,2004,2004-2,2004-06,
SSA-DATES1.csv,2,01/19/2021,4/23/2004,2004-04-23,2004-04,5,2004-06,2004,2004-3,30,2004,2004-2,2004-06,
SSA-DATES1.csv,2,01/19/2021,4/30/2004,2004-04-30,2004-04,5,2004-06,2004,2004-3,31,2004,2004-2,2004-06,
SSA-DATES1.csv,2,01/19/2021,5/7/2004,2004-05-07,2004-05,4,2004-06,2004,2004-3,32,2004,2004-2,2004-06,
SSA-DATES1.csv,2,01/19/2021,5/14/2004,2004-05-14,2004-05,4,2004-06,2004,2004-3,33,2004,2004-2,2004-06,
