date_yearmon,SSDI,SSI,Concurrent,State,year,month
Jun 2016,80594.15178571391,84767.3504464283,53377.59151785732,NW,2016,6
Jul 2016,79187.93928571424,82074.28392857156,52330.7589285714,NW,2016,7
Aug 2016,85481.54464285757,88914.4598214286,56483.30357142828,NW,2016,8
Sep 2016,81107.24107142922,86633.82142857175,53583.044642857036,NW,2016,9
Oct 2016,74549.04687500001,82530.19419642883,49367.4508928572,NW,2016,10
Nov 2016,70127.99999999993,76982.95982142857,45657.33705357143,NW,2016,11
Dec 2016,70148.87142857169,77264.28928571426,46302.39464285718,NW,2016,12
Jan 2017,73006.51785714315,76307.89955357167,46236.73660714285,NW,2017,1
Feb 2017,78396.1294642861,82869.35491071413,50790.404017857145,NW,2017,2
Mar 2017,82694.33928571436,86032.02857142901,53049.0839285716,NW,2017,3
Apr 2017,80063.6696428571,83452.0156249998,52177.48437500015,NW,2017,4
May 2017,80380.00223214306,87626.30133928606,54896.205357142935,NW,2017,5
Jun 2017,75901.55892857147,82219.51428571389,51749.8375000001,NW,2017,6
Jul 2017,73123.91964285709,76835.12053571429,48944.58705357143,NW,2017,7
Aug 2017,79802.77678571448,86305.53125000079,55137.53124999999,NW,2017,8
Sep 2017,72696.92500000008,78308.29553571438,50267.205133928626,NW,2017,9
Oct 2017,75553.48437500035,80847.4352678573,50908.89285714284,NW,2017,10
Nov 2017,70086.69196428556,73823.98214285738,45333.39508928559,NW,2017,11
Dec 2017,69698.39642857148,75745.02321428536,45729.299999999916,NW,2017,12
Jan 2018,67512.5491071429,69509.46651785709,42671.20089285706,NW,2018,1
Feb 2018,75329.55133928581,77968.91741071458,48677.17187500002,NW,2018,2
Mar 2018,77104.27499999998,78495.70357142847,49500.94107142874,NW,2018,3
Apr 2018,77977.61383928564,81171.37723214258,50862.149553571326,NW,2018,4
May 2018,77717.80803571407,83212.86383928565,51326.321428571275,NW,2018,5
Jun 2018,73363.94107142878,78196.54642857134,48333.88035714281,NW,2018,6
Jul 2018,74316.4174107141,76040.48437500023,47895.58035714279,NW,2018,7
Aug 2018,80528.05892857177,83381.35714285732,52349.89107142867,NW,2018,8
Sep 2018,75313.24553571433,77984.1361607144,47898.8415178574,NW,2018,9
Oct 2018,73386.98660714261,75713.28124999987,45597.54910714297,NW,2018,10
Nov 2018,65951.10535714294,70505.42499999999,42046.362500000025,NW,2018,11
Dec 2018,62027.27678571429,65064.50446428571,39316.55357142861,NW,2018,12
Jan 2019,68352.84151785714,70720.44419642875,43663.68080357135,NW,2019,1
Feb 2019,71920.5513392857,73490.25669642867,46523.718750000226,NW,2019,2
Mar 2019,82156.0303571427,78811.38392857132,50344.49464285708,NW,2019,3
Apr 2019,81899.70312499988,80348.47767857152,49978.37500000006,NW,2019,4
May 2019,77810.93229166635,79323.53110119067,48721.74107142862,NW,2019,5
Jun 2019,84070.91145833327,85285.51264880905,52455.335267857074,NW,2019,6
Jul 2019,77138.84330357169,78260.2477678571,48734.677008929044,NW,2019,7
Aug 2019,81349.87142857123,83390.9232142856,52103.782142857286,NW,2019,8
Sep 2019,77415.60714285678,80581.10714285706,49831.622767856985,NW,2019,9
Oct 2019,75924.16964285709,80276.73214285765,48495.63392857141,NW,2019,10
Nov 2019,72078.60892857157,73943.12321428534,45758.86785714303,NW,2019,11
Dec 2019,66996.19866071425,70469.33482142857,42539.66741071435,NW,2019,12
